2025-10-06 11:09:16.589 | background-preinit | DEBUG | org.jboss.logging | Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2025-10-06 11:09:16.591 | background-preinit | INFO  | o.h.validator.internal.util.Version | HV000001: Hibernate Validator 8.0.3.Final
2025-10-06 11:09:16.601 | background-preinit | DEBUG | o.h.v.i.x.config.ValidationXmlParser | Trying to load META-INF/validation.xml for XML based Validator configuration.
2025-10-06 11:09:16.602 | background-preinit | DEBUG | o.h.v.i.x.c.ResourceLoaderHelper | Trying to load META-INF/validation.xml via TCCL
2025-10-06 11:09:16.603 | background-preinit | DEBUG | o.h.v.i.x.c.ResourceLoaderHelper | Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2025-10-06 11:09:16.604 | background-preinit | DEBUG | o.h.v.i.x.config.ValidationXmlParser | No META-INF/validation.xml found. Using annotation based configuration only.
2025-10-06 11:09:16.613 | background-preinit | DEBUG | o.h.v.i.e.r.TraversableResolvers | Found jakarta.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
2025-10-06 11:09:16.615 | background-preinit | DEBUG | o.h.v.i.e.r.TraversableResolvers | Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
2025-10-06 11:09:16.657 | background-preinit | DEBUG | o.h.v.m.ResourceBundleMessageInterpolator | Loaded expression factory via original TCCL
2025-10-06 11:09:16.676 | main | INFO  | c.e.b.BasicSpringPracticeApplication | Starting BasicSpringPracticeApplication using Java 23.0.1 with PID 10996 (D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes started by USER in D:\Dhrubok(Intern)\basicSpringPractice)
2025-10-06 11:09:16.676 | main | DEBUG | c.e.b.BasicSpringPracticeApplication | Running with Spring Boot v3.5.6, Spring v6.2.11
2025-10-06 11:09:16.677 | main | INFO  | c.e.b.BasicSpringPracticeApplication | No active profile set, falling back to 1 default profile: "default"
2025-10-06 11:09:16.678 | main | DEBUG | o.s.boot.SpringApplication | Loading source class com.example.basicSpringPractice.BasicSpringPracticeApplication
2025-10-06 11:09:16.742 | main | DEBUG | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext | Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5b970f7
2025-10-06 11:09:16.796 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-10-06 11:09:16.832 | main | DEBUG | o.s.b.f.s.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-10-06 11:09:16.848 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2025-10-06 11:09:16.860 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2025-10-06 11:09:16.861 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
2025-10-06 11:09:16.861 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2025-10-06 11:09:16.861 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2025-10-06 11:09:16.861 | background-preinit | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper | HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2025-10-06 11:09:16.941 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\config\Config.class]
2025-10-06 11:09:16.978 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\AuthController.class]
2025-10-06 11:09:17.006 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\CustomerController.class]
2025-10-06 11:09:17.027 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\OrderController.class]
2025-10-06 11:09:17.052 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\controller\ProductController.class]
2025-10-06 11:09:17.165 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Identified candidate component class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\exception\GlobalExceptionHandler.class]
2025-10-06 11:09:17.170 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Ignored because not a concrete top-level class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\CustomerRepository.class]
2025-10-06 11:09:17.182 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Ignored because not a concrete top-level class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\OrderRepository.class]
2025-10-06 11:09:17.195 | main | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner | Ignored because not a concrete top-level class: file [D:\Dhrubok(Intern)\basicSpringPractice\basicSpringPractice\target\classes\com\example\basicSpringPractice\repository\ProductRepository.class]
